match,PSW,win0,confidence0,date,winner,,,pred correct?
45549,2.38,1,1.522052553,1/7/2018,Lorenzi P.,1.38,,
50169,1.85,0,1.521935591,8/27/2019,Berankis R.,-1,,
38641,2.39,1,1.521784228,5/1/2015,Gasquet R.,1.39,,
37867,2.12,1,1.521429112,2/2/2015,Berankis R.,1.12,,
36811,1.67,0,1.521383447,7/24/2014,Troicki V.,-1,,
33425,1.59,0,1.521240709,4/25/2013,Bellucci T.,-1,,
55457,2.4,1,1.520744401,5/4/2022,Dimitrov G.,1.4,,
42191,1.65,0,1.520631146,8/15/2016,Anderson K.,-1,,
45710,2.36,1,1.51976828,1/20/2018,Sandgren T.,1.36,,
50345,1.57,0,1.519731827,9/27/2019,Shapovalov D.,-1,,
52059,2.22,1,1.519245915,2/3/2021,Cuevas P.,1.22,,
47243,2.44,1,1.518341934,7/26/2018,Norrie C.,1.44,,
34668,1.88,1,1.518164121,9/17/2013,Lacko L.,0.88,,
54241,2.38,1,1.518158182,10/21/2021,Fucsovics M.,1.38,,
52801,2.2,1,1.51808618,4/26/2021,Berankis R.,1.2,,
38422,1.71,0,1.518075146,4/8/2015,Querrey S.,-1,,
44649,1.65,0,1.517790874,7/30/2017,Mayer L.,-1,,
48503,2.45,1,1.517593401,2/17/2019,Monfils G.,1.45,,
36089,1.63,0,1.517367591,5/8/2014,Gulbis E.,-1,,
47396,1.67,0,1.516649514,8/8/2018,Shapovalov D.,-1,,
47750,2.6,1,1.515315615,9/28/2018,Fritz T.,1.6,,
33839,1.75,0,1.515305001,6/12/2013,Becker B.,-1,,
49124,2.09,1,1.514707469,5/6/2019,Opelka R.,1.09,,
33871,2.65,1,1.514556789,6/15/2013,Youzhny M.,1.65,,
50430,2.2,1,1.514332381,10/7/2019,Kukushkin M.,1.2,,
50347,2.67,1,1.514246786,9/27/2019,Harris L.,1.67,,
56949,2.16,1,1.513998274,10/31/2022,Ymer M.,1.16,,
53991,1.61,0,1.513985341,9/6/2021,Auger-Aliassime F.,-1,,
41662,1.57,0,1.513927607,6/15/2016,Mathieu P.H.,-1,,
40323,1.63,0,1.5138623,1/12/2016,Muller G.,-1,,
41326,1.58,0,1.513498102,5/4/2016,Bautista Agut R.,-1,,
47266,2.74,1,1.512808678,7/29/2018,Basilashvili N.,1.74,,
53540,1.51,0,1.51244517,7/17/2021,Carreno Busta P.,-1,,
38952,1.54,0,1.512155035,6/8/2015,Kohlschreiber P.,-1,,
36380,1.57,0,1.512028217,6/11/2014,Stepanek R.,-1,,
56777,2.3,1,1.511741756,10/12/2022,Wolf J.J.,1.3,,
55876,2.75,1,1.511626808,6/23/2022,Cressy M.,1.75,,
33102,1.65,0,1.511625838,3/8/2013,Gulbis E.,-1,,
50077,1.74,0,1.510961524,8/18/2019,Gunneswaran P.,-1,,
42192,2.86,1,1.510537894,8/15/2016,Cuevas P.,1.86,,
41894,2.61,1,1.510411974,7/12/2016,Robert S.,1.61,,
39054,2.21,1,1.510374389,6/19/2015,Troicki V.,1.21,,
45885,1.62,0,1.510344827,2/17/2018,Bedene A.,-1,,
54350,2.52,1,1.510224337,11/4/2021,Duckworth J.,1.52,,
52367,1.91,0,1.5101511,3/8/2021,Sousa P.,-1,,
53217,1.68,0,1.510042379,6/11/2021,Shapovalov D.,-1,,
46235,2.2,1,1.509964046,3/26/2018,Shapovalov D.,1.2,,
52962,1.58,0,1.509540135,5/16/2021,Nadal R.,-1,,
39039,1.85,0,1.509387519,6/17/2015,Raonic M.,-1,,
41400,2.72,1,1.509382886,5/15/2016,Mannarino A.,1.72,,
34387,2.62,1,1.508835619,8/6/2013,Pospisil V.,1.62,,
43794,2.4,1,1.50859369,4/27/2017,Kuznetsov An.,1.4,,
40353,2.36,1,1.508507594,1/14/2016,Bautista R.,1.36,,
