match,PSW,win0,confidence0,date,winner,,,correct pred?,
49746,2.23,1,1.621415986,7/17/2019,Bublik A.,1.23,61.5,,
52987,2.46,1,1.620813215,5/19/2021,Bedene A.,1.46,73,,
53775,2.36,1,1.62030651,8/15/2021,Paire B.,1.36,68,,
47373,1.68,0,1.620143784,8/6/2018,Fucsovics M.,-1,-50,,
57310,2.22,1,1.620111277,2/8/2023,Barrios M.,1.22,61,,
46825,1.83,0,1.619142778,6/12/2018,Donskoy E.,-1,-50,,
43491,2.29,1,1.618264031,3/11/2017,Nishioka Y.,1.29,64.5,,
57262,2.17,1,1.617210191,1/23/2023,Rublev A.,1.17,58.5,,
56168,2.25,1,1.616464511,7/27/2022,Misolic F.,1.25,62.5,,
53392,1.6,0,1.616136283,6/30/2021,Fucsovics M.,-1,-50,,
54207,1.56,0,1.615512768,10/18/2021,Norrie C.,-1,-50,,
47411,1.66,0,1.615353487,8/9/2018,Medvedev D.,-1,-50,,
48064,1.81,0,1.614481597,11/11/2018,Anderson K.,-1,-50,,
49966,2.33,1,1.613599532,8/5/2019,Gasquet R.,1.33,66.5,,
47937,1.77,0,1.613567938,10/19/2018,Mannarino A.,-1,-50,,
54358,1.9,0,1.61336293,11/6/2021,Medvedev D.,-1,-50,,
48725,1.78,0,1.613273329,3/9/2019,Donaldson J.,-1,-50,,
55685,1.66,0,1.612856323,5/26/2022,Goffin D.,-1,-50,,
45530,1.54,0,1.612390711,1/4/2018,Pella G.,-1,-50,,
47821,1.61,0,1.612078092,10/7/2018,Jarry N.,-1,-50,,
49835,1.33,0,1.611989186,7/25/2019,Fognini F.,-1,-50,,
53949,2.75,1,1.611237297,9/1/2021,Popyrin A.,1.75,87.5,,
44352,1.75,0,1.610768727,6/29/2017,Gasquet R.,-1,-50,,
54629,1.61,0,1.610119574,1/25/2022,Berrettini M.,-1,-50,,
45116,2.58,1,1.609846219,9/27/2017,Donaldson J.,1.58,79,,
52847,2.4,1,1.609585583,5/1/2021,Struff J.L.,1.4,70,,
48504,2.45,1,1.608913796,2/17/2019,Monfils G.,1.45,72.5,,
48068,2.24,1,1.608579674,11/13/2018,Anderson K.,1.24,62,,
52328,1.58,0,1.608484624,3/2/2021,Cerundolo F.,-1,-50,,
56207,2.8,1,1.607435635,7/30/2022,Misolic F.,1.8,90,,
50401,1.62,0,1.607395241,10/3/2019,Isner J.,-1,-50,,
56136,1.51,0,1.607354696,7/25/2022,Carballes Baena R.,-1,-50,,
50350,2.13,1,1.607008384,9/28/2019,Carreno Busta P.,1.13,56.5,,
57399,1.78,0,1.606756709,2/15/2023,Van De Zandschulp B.,-1,-50,,
57355,2.3,1,1.606394542,2/13/2023,Barrere G.,1.3,65,,
48000,1.61,0,1.60612818,10/25/2018,Nishikori K.,-1,-50,,
49345,2.55,1,1.606102168,5/29/2019,Dimitrov G.,1.55,77.5,,
52371,1.91,0,1.603844143,3/8/2021,Sousa P.,-1,-50,,
51403,2.52,1,1.602747994,9/9/2020,Huesler M.A.,1.52,76,,
54851,1.74,0,1.601818152,2/16/2022,Sock J.,-1,-50,,
47914,2.3,1,1.601421614,10/17/2018,Berankis R.,1.3,65,,
48620,1.65,0,1.601176243,2/26/2019,Schwartzman D.,-1,-50,,
57506,2.48,1,1.600268947,2/24/2023,Lajovic D.,1.48,74,,
56442,1.88,0,1.600067279,8/29/2022,Moutet C.,-1,-50,,
54216,1.67,0,1.598402856,10/19/2021,Paul T.,-1,-50,,
